"﻿units",יחידות,Locations,Arrival Time,מי הקפיץ?,Who called?,האם הם יזמו הגעה?,"Did they initiate the arrive? ",האם היו סדירים?,האם היו מילואימניקים?,כמה זמן ארכה הלחימה,References,Location 1,Location 2,Location 3
"Sayeret Matkal ","סיירת מטכ""ל",Kfar Aza Kibbutz Be'eri,800,"הוקפצו על ידי הודעה מהיחידה 'כולם להגיע ליחידה עכשיו' בנוסף ידעו על המלחמה דרך דיווח התקשורת של N12 דני קושמרו ",Called by a message from the unit 'everyone get to the unit now' and also knew about the war through the N12 media report of Danny Kushmaro,"כן, הם יזמו את ההגעה לאחר הידיעות הראשוניות","Yes, they initiated the arrival after the initial news","כן ",כן,שעתיים,"1. ""אמרתי לו להחזיק חזק ושעוד מעט באים להציל אותנו"": ידין גלמן נפרד מחברו סרן דוד מאיר ז""ל שלחם איתו בקרב בבארי. 27/10/2023 2. אבל בירושלים: שלושה מתושבי העיר נהרגו במתקפת הטרור בדרום. 10/10/2023. 3. כך הצליחה כיתת הכוננות בקיבוץ מפלסים להתמודד עם מחבלי חמאס 13/10/2023",Kfar Aza,Kibbutz Be’eri,
" Paratroopers Brigade",יחידת צנחנים,"Kibbutz Be'eri, Kibbutz Kfar Aza and Kibbutz Alumim, Kibbutz Nahal-Oz",800,הלוחמים הגיעו מהראשונים לזירה לאחר הידיעות השונות,The fighters were first to arrive at the arena after the various news,"לא ידוע מי יזם את ההגעה, רוב המידע מתמקד בלחימה של היחידה בלב הרצועה כבר לאחר אירועי ה-7/10","It is unknown who initiated the arrival, most of the information focuses on the unit's fighting in Gaza Strip already after the events of 7/10",כן,כן,48 שעות,סיירת צנחנים: לחימה עיקשת בשבת 7 באוקטובר בנחל עוז. 17/10/2023,,,
"Egoz, Commando ",קומנדו של יחידת אגוז,Kisufim military base,1200,הגיעו בהוראות ממפקדים וגם כיחידים,They arrived with instructions from commanders and also as individuals,"כן, הגיעו לאחר כמה ידיעות על חדירת מחבלים לקיבוץ כיסופים.","Yes, after some news came about the infiltration of terrorists into Kibbutz Kisufim",כן,לא,9 שעות,מעטים מול רבים: לוחמי אגוז משחזרים לראשונה את הקרב ההירואי בכיסופים. 17/10/2023,,,
"Duvdevan, Commando ",קומנדו דובדבן,Kibbutz Kfar Aza,800,חלקם הגיע באופן עצמאי לנוכח הידיעות הרבות וחלקם הוקפץ בהמשך על ידי המפקדים ועל ידי הצוות שהגיע ראשון לזירה,Some of them arrived independently in call of the many reports and some came later by the commanders and by the team that arrived first at the scene,"כן, לוחמים רבים הגיעו כבר בשעות הראשונות של הלחימה לאזור ופעלו לבד. לאחר מכן הוקפצו כוחות נוספים ","Yes, many fighters already arrived in the first hours of the fighting in the area and acted alone. After that, additional forces were called",כן,"כן, ישנו צוות מילואים פעיל מאוד ביחידה",60 שעות,"1. גבורת לוחמי דובדבן: אור נהרג בהיתקלות בכפר עזה – כשלחם לצד אחיינו. 08/10/2023. 2. ""זר לא יבין"": צוות הפריצה הסודי של יחידת דובדבן נחשף לראשונה. 16/01/2024. 3. מפקד דובדבן: ""לא נזוז מעזה עד שחמאס יושמד, זו הבטחה של כל היחידה"". 14/10/2023",,,
Shaldag,שלדג,"Kibbutz Be'eri, Re’im military base and Kibbutz Alumim",900,"הוקפצו בצורה מסודרת על ידי מפקד היחידה והגיעו לנקודות החשובות בעזרת מסוקים ",Were called in an orderly manner by the commander of the unit and reached the important points with the help of helicopters,"כן, לאחר הידיעות הרבות על חדירות המחבלים בדרום היחידה יזמה את הגעתה ע""י מסוקים לנקודות הלחימה. ההגעה במסוקים סייעה להם להיחלץ מהיתקלויות בכבישים.","Yes, after the many news about the infiltration of the terrorists in the south, the unit initiated its arrival by helicopters to the combat points. The arrival by helicopters helped them to escape from road clashes.",כולם לוחמים של היחידה,לא,"8 שעות ",תיעודים יוצאי דופן מהקרב של יחידת העילית שלדג. 24/10/2023,"Kibbutz Be'eri ","Re’im military base ",Kibbutz Alumim
Unit 669,יחידה 669,Kibbutz Kisufim,800,לוחמי היחידה התארגנו אחד עם השני והגיעו לשטח מבלי להבין לחלוטין מה המשימה שלהם ומול מה הם מתמודדים. לאחר מכן הגיעו גם מסוקי חילוץ,"The fighters of the unit organized with each other and arrived in the field without fully understanding what their mission was and what they were facing. After that, rescue helicopters also arrived","כן, לאחר הידיעות הרבות לוחמי היחידה הגיעו ברכבים לשטח והחלו לפעול עם אנשי קשר מיחידות אחרות שכבר היו במקום","Yes, after the many reports, the unit's fighters arrived in vehicles to the area and began to work with contacts from other units that were already there",כולם לוחמים של היחידה,לא,"36 שעות ",זמן אמת עונה 7 פרק 10 | יחידת החילוץ 669. 26/10/2023,,,
Refaim,יחידת רפאים,"Kibbutz Be'eri, Kibbutz Re'im, Kibbutz alumim and Kibbutz Orim.",700,חלקם נכחו במקום בעת ההתקפה והאחרים הגיעו על פי הוראתו של מפקד היחידה.,Some of them were present at the time of the attack and the others arrived according to the order of the unit commander.,"כן, הלוחמים שכבר היו במקום ואלה שהגיעו ראשונים לזירה הודיעו לשאר הצוות להגיע","Yes, the fighters who were already there and those who arrived first in the arena informed the rest of the team to arrive",כן,"Unknown ",-,"1. ""תמיד היה האיש הנכון - במקום הנכון"": הקצין מיחידת הרפאים שנפל ברעים. 27/10/2023. 2. להקות הרחפנים שחיסלו 100 מחבלים: תיעוד מיוחד עם יחידת רפאים, וההקלטה האחרונה של המפקד שנפל. 28/12/2023. ",,,
Yahalom,יהלום,"Kfar Aza, Military base Re'im, cross section Sa'ad",800,"הוקפצו ע""י מפקד היחידה בשעה 7:00 בבוקר ",They were called by the commander of the unit at 7:00 in the morning,"כן, הוקפו על ידי המפקדים לאחר שהתחילו להגיע ידיעות ראשונות על חדירות מחבלים, עוד לפני שהבינו את גובה האירוע","Yes, they were surrounded by the commanders after the first reports of terrorist infiltration began to arrive, even before they realized the size of the incident",כן,כן,"17 שעות ","7 באוקטובר, שעה אחרי שעה, עם צוות הקומנדו שראה הכול. 20/10/2023",,,
89 Brigade,חטיבה 89,"Kfar Aza, Kibbutz Kisufim, Kibbutz Sa'ad, Nahal Oz",800,"הוקפצו בשעות הבוקר המוקדמות ע""י מפקדי היחידה",They were called in the early hours of the morning by the commanders of the unit,"כן, הוקפצו ע""י המפקדים והגיעו למקום גם ברכבים וגם באופן רגלי על מנת לסייע בקרבות השונים ובפינוי פצועים וגופות.","Yes, they were called by the commanders and arrived at the scene both in vehicles and by walk in order to assist in the various battles and to evacuate the wounded and dead bodies.",כן,כן," 12 שעות","1. היינו נצורים שעות. אבא שלי, בן 62, נלחם במחבלים כדי לחלץ אותנו. המדינה נכשלה. 08/10/2023. 2. ""כל אחד מהם גדל בסביבה שונה, אך ביום פקודה התייצבו ראשונים"". 03/01/2024",,,
Yamam,"ימ""ם","Kibbuts Be'eri, Mefalsim, Nahal Oz, Nir Am, a lot of cross sections and Sderot police station.",700,הצוות הכונן שהיה באותה שבת יצא מיד עם התחלת הידיעות על חדירות מחבלים,The on-call team that was there that Saturday left as soon as the news of terrorist infiltration began,"כן, ברגע שהגיעו ידיעות ראשונות על חדירת מחבלים ב-06:45 בבוקר יצא הצוות הכונן לאזור ולאחר מכן הקפיץ צוותים נוספים","Yes, as soon as the first reports of terrorist infiltration arrived at 06:45 in the morning, the driving team went to the area and then sent additional teams",כן,כן,"Unknown ","1. קרב החיים והמוות של יחידת ימ""מ ב-7 באוקטובר. 28.10.2023. 2. קצין בכיר: לוחמי הימ""מ חיסלו 200 מחבלים; תשעה לוחמים נהרגו ו-35 נפצעו. 14/10/2023. 3. 9 לוחמי ימ''מ נפלו בלחימה: ""היינו קו ההגנה האחרון בין המחבלים לתושבים"". 15/10/2023
",,,
Yamas,"ימ""ס",Kibbutz Nahal Oz,,"בצורה עצמאית, הגיעו לאזור גם יחידים ולא רק כקבוצה",Individuals also arrived in the region independently and not only as a group,כן יוזמה עצמית וגם חברים שהיו בזירה שביקשו עזרה,Yes self-initiative and also friends who were in the scene who asked for help,כן,"לא ","Unknown ",ב-7 לאוקטובר יצא לוחם הימ״ס לתופת במטרה אחת. 15/11/2023,,,
Shabak,"שב""כ",Kibbuts Mefalsim,630,צוות לוחמי היחידה התארגנו ונלחמו במחבלים,The unit's fighting team organized and fought the terrorists,כן הלוחמים יזמו הלחימה יחד כצוות,"Yes, the fighters initiated the fighting together as a team",כן,"Unknown ",-,"גיבורי הדממה: סיפורם של לוחמי השב""כ שנפלו ביום הטבח. 05/12/2023",,,
Division 99,אוגדה 99,"Alumim, Kibbuts Be'eri, Sa'ad and Re'im.",1030,הגיע מפקד האוגדה עם החיילים,The division commander arrived with the soldiers,תחילה הגיעו לשטח באופן עצמאי ולאחר מכן כבר התקבל דיווח וגוייסו כוחות נוספים,First they arrived at the area independently and then a report was already received and additional forces were mobilized,כן,"Unknown ",48 שעות,"1. קצין בכיר על הטבח בבארי: ""כשלנו בהגנה, המחבלים התחפשו לחיילים"". 11/10/2023. 2. תא""ל ברק חירם: כך חיסלנו יותר ממאה מחבלים בקיבוץ בארי. 11/10/2023",,,
Lotar,"לוט""ר","Kibbutz Nir Yitzhak, Orim Military base",800,"קיבלו ידיעה בשעות הבוקר המוקדמות על חדירת מחבלים ויצאו כצוות למקום ",They received news in the early morning hours about the infiltration of terrorists and went to the area as a team,"לא יזמו הגעה באופן עצמאי אלא קיבלו דרישה להגיע לקיבוץ ניר יצחק ולסייע בשחרורו, בדרכם נתקלו במחבלים נוספים ונלחמו בקרבות ","They did not initiate arrival independently, but received a demand to arrive at Kibbutz Nir Yitzhak and assist in the fights, on their way they encountered additional terrorists and fought in battles",כן,"Unknown ","36 שעות ","""תוכיח לי שאתה מצה""ל"": העדות המצמררת של לוחם לוט""ר מהלחימה בעזה. 08/11/2023",,,
Sayeret Nahal,"סייירת הנחל ","Kibuttz Kerem Shalom, Military base Sofa",700,"ביוזמה עצמית - ""סמג""ד היחידה מכריז שכל אחד יעשה מה שיכול בגזרה שלו""","Self-initiated - ""The unit's SMGAD declares that everyone will do what they can in his sector""","כן הם יזמו את הלחימה בעיקר  מפקד לשעבר של יחידה ",Yes they initiated the fighting mainly a former commander of a unit,מי שנמצא בסיסים היו סדירים האחרים לא,"לא , יוזמה עצמית אחר כך הפכו להיות במילואים ",8 שעות,"המפקד נפל - חברו החליף אותו: בעומק הרצועה עם המג""ד שנקרא לדגל. 14/11/2023",,,
Sayeret 13,גדוד 13,Military base Nahal-Oz,,אף אחד- לוחמים בסדיר,Nobody - regular fighters,"30 חיילים שעמדו מול מתקפת חמאס ",30 soldiers who faced the Hamas attack,לוחמים בסדיר,"לא , יוזמה עצמית אחר כך הפכו להיות במילואים ","Unknown ","אומץ, נחישות, וחירוף נפש: קרב הגבורה של גדוד 13 של גולני בשבת שמחת תורה 7 באוקטובר.16/12/2023",,,
"Golani ",גולני,"Kfar Aza, Kibbutz Kisufim, Kibbutz Nahal-Oz, Military base Nahal-Oz",630,"נלחמו בחמל - המג""ד בא מהבית אחרי שקיבל שיחה ב 6:38 בבוקר",They fought in the HAMAL- the Magad came from home after receiving a call at 6:38 AM,14 לוחמים,14 fighters,לוחמי סדיר ובטרונות,לא,"4 שעות ","1. ""מנענו נזק יותר גדול. רוצים להכות בחמאס בשביל האחים שלנו"" | גבורת גולני. 19/10/2023. 2. המג""ד שאיבד 41 לוחמים ביום אחד: ""חשבתי רק על היישובים"". 17/10/2023",,,
Border Protection Corps,כיתת כוננות,"Kibbutz Alumim, Kibbutz Kerem shalom, Kibbutz Mefalsim, Kibbutz Sa'ad, Kibbytz Nir Am",802,איש כיתת כוננות שהיה ונלחם במבחבלים,A member of the alert class who was and fought terrorists,"כן, חמ""ל הקיבוץ","Yes, the Kibbutz HAMAL",לא,לא,"4 שעות ","1. כך הצליחה כיתת הכוננות בקיבוץ מפלסים להתמודד עם מחבלי חמאס. 13/10/2023. 2. מחדל אחר מחדל, דקה אחר דקה: היום שבו פרצה המלחמה. 14/10/2023",,,
"Nahal Brigade ",חטיבת הנחל,Kibbutz Nativ Ha'Asara near Kerem Shalom,630,היה בדרכו לזירת חילופי אש שניהלו פקודיו עם מחבלים.,He was on his way to the scene of an exchange of fire that his solidres were conducting with terrorists.,אנשי החטיבה קיבלו דיווח והיו בדרכם,The brigade's fighters received a report and were on their way,כן,"Unknown ","Unknown ","1. מח""ט הנח""ל נהרג ליד כרם שלום; 15 נרצחו בטבח בנתיב העשרה. 07/10/2023. 2. מפקד חטיבת הנח""ל, אלוף-משנה יהונתן שטיינברג ז""ל נהרג בהיתקלות. 07/10/2023",,,
"Combat Engeneering ",חיל ההנדסה הקרבית,North Gaza strip,,"נלחמו נגד המחבלים ",fought against the terrorists,"Unknown ","Unknown ","Unknown ",כן,"Unknown ","1. גבורה תחת אש: אלה שמות הנרצחים והנופלים במתקפה הרצחנית של חמאס. 07/10/2023. 2. 'הרשימה השחורה': כל שמות הנרצחים הי""ד שמשפחותיהם עודכנו. 08/10/2023",,,
"460th Armored Brigade ","חטיבה 460- גדוד צב""ר שריון",Kibbutz Kfar Aza,710,"Unknown ","Unknown ","Unknown ","Unknown ",כן,"Unknown ","Unknown ","1. סוגרים מעגל: לוחמי גדוד ""צבר"" שנלחמו בכפר עזה ב-7 באוקטובר - בלב השכונה ממנה יצאו המחבלים לטבח. 23/12/2023. 2. גדוד ""צבר"" נלחמים בדרג' תופאח ומשקיפים על הקיבוץ. 26/12/2023. 3. בשכונה שצופה על כפר עזה: לוחמי גבעתי חיסלו מחבלים - ומצאו תמונות של אישה וילדים עם רובים. 26/12/2023. 4. לוחמי גבעתי, שלחמו בכפר עזה ב-7 באוקטובר, משקיפים עליו מדיר תופאח בעזה. 26/12/2023",,,
7th Armored Brigade,"חטיבה 7
",Gaza Strip borders,630,מפקד חטיבה 7 הקפיץ החיילים והגיע בעצמו,The commander of the 7th brigade called the soldiers and came by himself,"""החל מיום שבת בבוקר נמצאים לוחמי חיל השריון בגזרה הדרומית ונלחמים בגבורה עילאית בארגון הטרור חמאס""","""As of Saturday morning, the soldiers of the Armored Corps are in the southern sector and are fighting with supreme valor against the terrorist organization Hamas""","כן,לוחמים","Unknown ","Unknown ","1. מפקד חטיבה 7: ""בכל פעם שבה למישהו יש דילמה, הוא נזכר ב-7 באוקטובר"". 01/12/2023. 2. גיבורי גדוד 77: חיילי השיריון שלא הפסיקו להילחם גם כשאיבדו חברים רבים. 14/10/2023. 3. ""רשאי לירות? יורה"": כך לוחמי שיריון חיסלו מחבלים במתקפת הפתע | תיעוד מהכוונת. 16/10/2023",,,
Gaza Division -Southern Gaza Brigade,אוגדת עזה,Re'im military base,710,"קרב דרמטי- הם נלחמו בתןך הבסיס עם מפקד האוגדה וחיילים ונלחמים בתוך החמ""ל",A dramatic battle - they fought inside the base with the division commander and soldiers and are fighting inside the HAMAL,כיתת הכוננות של הבסיס הגדול באוגדת עזה כוללת מפקד וארבעה חיילים בלבד - כולם תומכי לחימה.,The Border Protection Corps of the large base in the Gaza Division includes a commander and only four soldiers - all combat supporters.,"כן ","לא ","12 שעות ","1. הכוחות שלא הוקפצו, ההתרעות שלא הועברו: תחקיר המחדל באוגדת עזה. 21/12/2023. 2. תחקיר ניו יורק טיימס על מחדלי 7 באוקטובר: צה""ל לא התכונן לאפשרות של פלישה. 30/12/2023. 3. סיפור גבורה בלתי נתפס: קצין הגששים שהגן על ה""סמל"" של פיקוד דרום. 14/10/2023. 4. גבורת הגשש: גרם למחבלים לחשוב שהוא אחד מהם - והם חוסלו. 21/10/2023. 5. ההודעות המצמררות שקיבל כתבנו הצבאי באמצע שידור מהאנשים שחוו תופת בעוטף והקצינה ששלחה להם סיוע: ""מיד הבנתי - אנחנו במלחמה"". 20/10/2023. 6. ""ממה שאנחנו מבינים, התוכנית הייתה גדולה עוד יותר, וכללה משלוח חוליות מחבלים למרכז"". 13/10/2023. 7. בני ערובה באופקים ובארי, הושגה שליטה על מפקדת האוגדה אחרי קרבות קשים. 07/10/2023",,,
"Air Force ",חיל אוויר,,628," הוזנקו לאוויר שני מטוסי קרב מבסיס חצרים.",Two fighter jets were launched from Hatzerim base.,"לא ",No,"כן,לוחמים",לא,"Unknown ","הכשלים של חיל האוויר ב-7 באוקטובר נחשפים: ""התעסק במלחמה באיראן בזמן שהיא הגיעה לפה"". 11/01/2024",,,
"Ordanace Corps ",אוגדה 36,עוטף עזה,,"לא הגיבו ביום, רק ימים לאחר החלו תגובת היחידה","They did not respond on that day, only days later the unit's response began","קיבלו הוראה  לפתוח תרגילים בין 8-10 באוקטובר לקראת כנסה קרקעית של כוח ",Received an order to open exercises between October 8-10 in preparation for ground entry of force,לא,"Unknown ","Unknown ",תיעוד מיוחד מהלחימה להכרעת גדוד מרכזי של חמאס. 20/11/2023,,,
"Kfir ",אוגדה 99 Brigade Combat Team,Kibbutz Re'im,1200,"החטיבה הוזעקה מהגדה המערבית לסייע באבטחת קיבוץ רעים, היא אספה כוחות מבית הספר להכשרה שהופנו לעוטף עזה.","The brigade was called in from the West Bank to help secure Kibbutz Reim, they gathered forces from the training school  which were redirected to the Gaza Envalope",קיבלו דיווח ופקודה להגיע לרעים,Received a report and an order to reach to Kibbutz Re'im,כן,גם סדירים וגם מילואים,"Unknown ","""חמאס מרגיש ניצוד ונרדף, אנחנו באים להשמיד"": הגבורה של חטיבת כפיר בעזה. 19/01/2024",,,
Logistics,חיל הלוגיסטיקה,לא רלוונטי,,אחראי על תיאום אספקת אפודים וציוד צבאי לחיל רגלים ויחידות נוספות הנכנסות לעזה,Responsible for coordinating supply of vests and military equipment for infantry and other units entering Gaza,התחילו גיוס תרומות וציוד,Fundraising and equipment started,כן,גם סדירים וגם מילואים. תרומות רבות במקור חו״ל,up until today,המספרים מאחורי המאמץ הלוגיסטי והאחזקתי של הלחימה בעזה. 06/11/2023,,,
Counter-Terrorism(Yamam),"Tequilla team, border police","Ofakim, Sderot",645,"הוקפצו לשדרות ולאופקים עבור לחימה נגד חדירת מחבלים, הצילו את רחל מאופקים","Called to Sderot and Ofakim for fighting against terrorist infiltration, save Rachel from Ofakim",הגיעו במהירות ונלחמו נגד חדירת המחבלים,They arrived quickly and fought against the infiltration of the terrorists,לא,כן. יחידה של רק אנשי קבע ומילואים,14 שעות,"החילוץ במנוף, ושחרור רחל מאופקים: לוחמי ימ""מ על 7 באוקטובר. 28/10/2023",,,
"Coordinator for Goverment Activities in the Territories  ",יחידה כפוף למשרד הביטחון,מעברי גבול איו״ש ועזה,,"תפקידו לבדוק סיוע הנכנס לעזה מאז תחילת הכניסה הקרקעית של צה""ל",Tasked with inspecting aid entering Gaza since the start of IDF ground invasion,התחילו לעבוד במתכנת חירום במעברים,Started working as an emergency programmer in the transitions,כן,כן,up until today,"Humanitarian aid. Most recent update: Feb. 16, 2024",,,
Oketz,אל-חארם,"Kibbutz Be'eri, Kibbutz Kfar Aza, Kibbutz Zikim",700,הוקפצו פלוגת אל חארם לעוטף עזה ללחם נגד חדירת מחבלים,The Al Haram unit was sent to the Gaza Strip to combat the infiltration of terrorists,"התקבל דיווח בשעות הבוקר ומיד נתן פקודה להגיע לעוטף, הכלבים עזרו בחיפוש אחרי מחבלים שחדרו לשטח ישארל","A report was received in the morning and an order was immediately given to reach Gaza Envelope, the dogs helped in the search for terrorists who had infiltrated to Israel",כן,כן לאחר 7 באוקטובר,up until today,נטרול מחבלים והצלת חיילים: תיעוד הלוחמים על ארבע בעזה. 31/12/2023,,,
"Home Front Command ","חילוץ והצלה, מדריכי הסברה בתקשורת",כל הארץ בעיקר בעוטף ובצפון,,אחראי על שמירת הסדר ופרסום תקנות חירום. כמו כן סייע בשמירה על השקט וחילוץ אזרחים בעקבות ירי רקטות וחדירת מחבלים,Responsible for maintain order and publishing emergency regulations.  Also helped in maintaining calm and rescuing civilians afer rocket fire and terrorist intrusion,"התקבלו דיווח, מיד פרסמו ברשתות ובטלוויזיה הנחיות להתנהגות הציבור באזורים שונים בכל רחבי הארץ","A report was received, and guidelines for public behavior were immediately published on the networks and on television in various areas all over the country",כן,כן,up until today,Home Front Command saving civilian lives in Israel - interview. 07/11/2023,,,
"Maglan, Commando ",גדוד 931,Kibbutz Sa'ad,1200,הוקפצו לישוביי העוטף בעיקר נחל עוז בשביל להגן נגד חדירת מחבלים,"They were sent to Gaza Envelope, which mainly surrounds Nahal Oz, in order to protect against the infiltration of terrorists",התקבל דיווח אך לא יצאו מיד,A report was received but they did not come out immediately,כן,כן,"15 שעות ","כשהיינו נצורים בממ""דים, הם יצאו להציל את נחל עוז — ולא חזרו. 03/11/2023. ",,,
"Caracal ",אוגדת עזה,Military base Sufa,630,חדירת מחבלים בתוך הבסיס,Infiltration of terrorists inside the base,לא היה סדר ולא הגיבו בזמן משום שלא ידוע מה מתרחש,There was no order and they did not respond in time because it was unknown what was happening,כן,לא,"14 שעות ","המג""דית שנלחמה 14 שעות – והצילה את מוצב סופה: ""מחבל קפץ עליי מטווח אפס. הבנתי שהם בינינו"". 19/10/2023",,,
"Artillary Corps ",גדוד 9035,"איו״ש וישיבי העוטך, צפון",637,פעלו בתגובה לשיגורים מעזה להפצצו מקורות ירי וחוליחת מחבלים,Acted in response to launches from Gaza to bomb sources of gunfire and terrorist attacks,"כבר הוקפצו בבוקר ואיתרו מקורות ירי וחוליות מחבלית, עדיין פועלים בצפון בתגובה לירי מלבנון וסוריה",Already in the morning sources of gunfire and terrorist squads were located. Still operating in the north in response to gunfire from Lebanon and Syria,כן,כן,up until today,"""הפעלנו בעזה אש שלא ראיתי באף מלחמה"": קצין תותחנים ראשי על עוצמת האש ברצועה. 28/12/2023",,,
Signal Corps,"מודיעין, יחידת 8200",בסיסים מודיענים,,"בגלל החלטה פנימית של הכוח, יחידה זו לא הייתה פעילה ב-7 באוקטובר","Because of an internal personnel decision, this unit was not active on October 7",אף חייל לא הוקפץ כתוצאה מפקודה לא להפעיל את היחידה,No soldier was called as a result of an order not to activate the unit,לא רלוונטי,לא רלוונטי,לא רלוונטי,Top Israeli intel unit wasn’t operational on October 7 due to personnel decision. 28/11/2023,,,
Judea&Samaria Division,אוגדת אזור יהודה ושומרון,"Jenin, Nablus",,"לאחר קבלת דיווח, הוגדלו והורחבו כמות הכוח והסיורים בגזרה","After receiving a report, the amount of force and patrols in the sector were increased and expanded",כבר נמצאו בגזרה,have already been found in the sector,כן,"Unknown ",up until today,"""עוברים אזור-אזור, מנקים מטרור"": כתב ynet במבצע בלב ג'נין. 14/12/2023",,,
Bislamach Brigade,"חטיבת ביסלמ""ח
",Zikim baech,,הוקפצו ב10 באוקטובר לחוף זיקים להילחם נגד חדירת מחבלים,Were called on October 10 to Zikim Beach to fight against the infiltration of terrorists,לא פעלו עד 3 ימים לאחר הטבח,They did not act until 3 days after the massacre,כן,כן,14 שעות,"הלוחם ליד המחבלים שחוסלו: ""זה מה שקורה למי שחודר"". 10/10/2023",,,